,ID,Price,Name,Mark,Model,Size,Volume,Main camera,Front camera,RAM
217,f7082211,294 000,Xiaomi Black Shark 3 12/256Gb Lightning Black,Xiaomi, Black Shark 3,"экран 6.67""",256Гб,64Mpix,20Mpix,12 Гб
218,f5099461,385 300,Apple iPhone X 256Gb Space Gray,Apple, iPhone X,"экран 5.8""",256Гб,12Mpix,Not Found,3 Гб
219,f7071500,103 030,Xiaomi Poco X3 NFC 6/64Gb Cobalt Blue,Xiaomi, Poco X3 NFC,"экран 6.67""",64Гб,64Mpix,20Mpix,6 Гб
220,f6999257,90 745,Xiaomi Redmi Note 9 Pro 6/64Gb,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",64Гб,64Mpix,16Mpix,6 Гб
221,f6809626,235 000,Samsung Galaxy S20 8/128Gb Cosmic Grey,Samsung, Galaxy S20,"экран 6.2""",128Гб,64Mpix,10Mpix,8 Гб
222,f6566804,469 494,Apple iPhone 11 Pro Max 256Gb Silver,Apple, iPhone 11 Pro Max,"экран 6.5""",256Гб,12Mpix,12Mpix,6 Гб
223,f6566802,469 494,Apple iPhone 11 Pro Max 256Gb Space Gray,Apple, iPhone 11 Pro Max,"экран 6.5""",256Гб,12Mpix,12Mpix,6 Гб
224,f6133506,183 800,Samsung Galaxy S10 8/128Gb Prism Black,Samsung, Galaxy S10,"экран 6.4""",128Гб,16Mpix,10Mpix,8 Гб
225,f7077792,103 080,Xiaomi Poco X3 NFC 6/64Gb,Xiaomi, Poco X3 NFC,"экран 6.67""",64Гб,64Mpix,20Mpix,6 Гб
226,f6277727,67 990,Xiaomi Redmi Note 7 3/32Gb Rose Gold,Xiaomi, Redmi Note 7,"экран 6.3""",32Гб,48Mpix,13Mpix,3 Гб
227,f6878488,70 934,Samsung Galaxy A31 4/64Gb Prism Crush Black,Samsung, Galaxy A31,"экран 6.4""",64Гб,48Mpix,20Mpix,4 Гб
228,f6702216,87 578,Samsung Galaxy A51 4/64Gb White,Samsung, Galaxy A51,"экран 6.5""",64Гб,48Mpix,32Mpix,4 Гб
229,f7067894,108 898,Xiaomi Poco X3 NFC 6/128Gb Cobalt Blue,Xiaomi, Poco X3 NFC,"экран 6.67""",128Гб,64Mpix,20Mpix,6 Гб
230,f7105132,214 430,Samsung Galaxy S20 FE 6/128Gb Cloud Mint,Samsung, Galaxy S20 FE,"экран 6.5""",128Гб,12Mpix,32Mpix,6 Гб
