,ID,Price,Name,Mark,Model,Size,Volume,Main camera,Front camera,RAM
345,f7014610,108 000,Samsung Galaxy A51 6/128Gb Prism Green,Samsung, Galaxy A51,"экран 6.5""",128Гб,48Mpix,32Mpix,6 Гб
346,f7138593,750 000,Apple iPhone 12 Pro Max 512Gb Graphite,Apple, iPhone 12 Pro Max,"экран 6.7""",512Гб,12Mpix,12Mpix,6 Гб
347,f7094567,597 139,Apple iPhone 12 Pro 256Gb Graphite,Apple, iPhone 12 Pro,"экран 6.1""",256Гб,12Mpix,12Mpix,6 Гб
348,f4915675,232 000,Apple iPhone 7 Plus 128Gb Jet Black,Apple, iPhone 7 Plus,"экран 5.5""",128Гб,12Mpix,7Mpix,3 Гб
349,f6264764,59 600,Meizu X8 4/64Gb White,Meizu, X8,"экран 5.9""",64Гб,12Mpix,20Mpix,4 Гб
350,f7146751,3 917,Nobby 120,Nobby, 120,Not Found,Not Found,Not Found,Not Found,Not Found
351,f7145230,8 614,OLMIO C17,OLMIO, C17,Not Found,Not Found,Not Found,Not Found,Not Found
352,f7076812,108 935,Xiaomi Poco X3 NFC 6/128Gb Shadow Gray,Xiaomi, Poco X3 NFC,"экран 6.67""",128Гб,64Mpix,20Mpix,6 Гб
353,f6878528,101 539,Xiaomi Redmi Note 9 Pro 6/128Gb Glacier White,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,48Mpix,16Mpix,6 Гб
354,f6564250,350 000,Apple iPhone 11 Pro 64GB Silver,Apple, iPhone 11 Pro,"экран 5.8""",64Гб,12Mpix,12Mpix,6 Гб
355,f7053802,90 717,Xiaomi Redmi Note 9 Pro 6/64Gb Interstellar Gray,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",64Гб,48Mpix,16Mpix,6 Гб
356,f7062096,82 179,Xiaomi Redmi Note 8 Pro 6/64Gb Red,Xiaomi, Redmi Note 8 Pro,"экран 6.53""",64Гб,64Mpix,20Mpix,6 Гб
357,f6857258,8 880,TeXet TM-317 Red,TeXet, TM-317 Red,"экран 2.2""",Not Found,0.3Mpix,Not Found,Not Found
358,f7125817,204 250,Google Pixel 4a 128Gb черный,Google, Pixel 4a,"экран 5.81""",128Гб,12.2Mpix,8Mpix,6 Гб
359,f7079550,31 390,Samsung Galaxy A01 Core 1/16Gb Blue,Samsung, Galaxy A01 Core,"экран 5.3""",16Гб,8Mpix,5Mpix,1 Гб
360,f7139653,75 100,Apple iPhone 7 32Gb черный,Apple, iPhone 7,"экран 4.7""",32Гб,12Mpix,7Mpix,2 Гб
361,f7053872,325 000,Samsung Galaxy Note20 8/256Gb Mystic Gray,Samsung, Galaxy Note20,"экран 6.7""",256Гб,12Mpix,10Mpix,8 Гб
362,f7113305,265 000,Samsung Galaxy S20 8/128Gb Cloud Blue,Samsung, Galaxy S20,"экран 6.2""",128Гб,64Mpix,10Mpix,8 Гб
363,f7113285,265 000,Samsung Galaxy S20 8/128Gb Aura Red,Samsung, Galaxy S20,"экран 6.2""",128Гб,64Mpix,10Mpix,8 Гб
364,f7139134,253 000,Apple iPhone 11 128Gb белый,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
365,f6570585,548 000,Apple iPhone 11 Pro Max 256Gb Space Gray,Apple, iPhone 11 Pro Max,"экран 6.5""",256Гб,12Mpix,12Mpix,6 Гб
366,f7110245,184 000,Apple iPhone 8 64Gb Silver,Apple, iPhone 8,"экран 4.7""",64Гб,12Mpix,7Mpix,2 Гб
367,f6963673,57 120,Xiaomi Redmi 9 4/64Gb Sunset Purple,Xiaomi, Redmi 9,"экран 6.53""",64Гб,13Mpix,8Mpix,4 Гб
368,f7054653,364 900,Samsung Galaxy Z Flip 8/256Gb Mirror Purple,Samsung, Galaxy Z Flip,"экран 6.7""",256Гб,12Mpix,10Mpix,8 Гб
369,f7054668,390 000,Samsung Galaxy S20 Ultra 5G 12/128Gb Cosmic Grey,Samsung, Galaxy S20 Ultra 5G,"экран 6.9""",128Гб,108Mpix,40Mpix,12 Гб
370,f7130775,237 500,Apple iPhone 11 64Gb Black,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,4 Гб
371,f7129474,75 000,Apple iPhone 7 32Gb,Apple, iPhone 7,"экран 4.7""",32Гб,12Mpix,7Mpix,2 Гб
372,f7129393,162 500,Apple iPhone X 256Gb,Apple, iPhone X,"экран 5.8""",256Гб,12Mpix,Not Found,3 Гб
373,f7127422,389 000,Apple iPhone 11 Pro Max 256Gb Space Gray,Apple, iPhone 11 Pro Max,"экран 6.5""",256Гб,12Mpix,12Mpix,6 Гб
374,f6577549,69 990,Xiaomi Redmi Note 8 4/64Gb Moonlight White,Xiaomi, Redmi Note 8,"экран 6.3""",64Гб,48Mpix,13Mpix,4 Гб
