,ID,Name,Price,Proccessor,Size,CPU Frequency,Volume
216,f7126420,Ультрабук Lenovo THINKPAD X240 Ultrabook,133 000,Core i5,"12""",1900 MHz,128
217,f7126578,Ноутбук HP EliteBook 8440p,99 000,Core i5,"14""",2530 MHz,320
218,f7126422,Ультрабук Lenovo THINKPAD X240 Ultrabook,143 000,Core i5,"12""",1900 MHz,320
219,f7077296,Ноутбук Acer ASPIRE 3 (A315-42) NX.HF9ER.04A,315 900,AMD Ryzen 3,"15.6""",2600 MHz,512
220,f7074659,Ультрабук Apple MacBook Air 13 Mid 2020 Gold MVH52 Gold,625 900,Core i5,"13.3""",1100 MHz,512
221,f7105513,Ноутбук DELL Inspiron 5501 210-AVON-A1,381 818,Core i5,"15.6""",1000 MHz,256
222,f7131406,Игровой ноутбук Acer Nitro 5 AN515-43 NH.Q6ZER.007,286 598,AMD Ryzen 5,"15.6""",2100 MHz,512
223,f6878549,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Silver MWP72 Silver,919 990,Core i5,"13.3""",2000 MHz,512
224,f6871248,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Space Gray MXK52 Space Gray,654 990,Core i5,"13.3""",1400 MHz,512
225,f5720705,Ноутбук DELL Inspiron G5 15 5587 G515-7336,399 900,Core i5,"15.6""",2300 MHz,1128
226,f7064726,Игровой ноутбук Dream Machines G1650-15XX08,367 833,Core i5,"15.6""",2500 MHz,Not Found
227,f6814100,Игровой ноутбук Acer Nitro 5 AN515-43 NH.Q5XER.004,324 503,AMD Ryzen 5,"15.6""",2100 MHz,512
228,f6820809,Игровой ноутбук Lenovo IdeaPad L340 15 Gaming,331 846,Core i5,"15.6""",2400 MHz,1128
229,f6399304,Ноутбук DELL XPS 13 9380 210-ARIF_7FHD,720 596,Core i7,"13.3""",1800 MHz,256
230,f6383850,Ноутбук DELL INSPIRON 13 5378 5378-7841,280 758,Core i3,"13.3""",2400 MHz,1000
231,f6119047,Ноутбук HP 250 G6 1WY45EA,250 775,Core i3,"15.6""",2000 MHz,500
232,f6119128,Мобильная рабочая станция HP ZBook 15 G5 2ZC40EA,1 103 436,Core i7,"15.6""",2200 MHz,256
233,f7081822,"Ноутбук Prestigio SmartBook 141 С5, Intel Celeron N3350-1.1GH/14.1""HD/eMMC64+120SSD/4Gb/IntelHD/W10P",153 890,Celeron,"14.1""",Not Found,Not Found
234,f7076568,Ноутбук Asus ROG Strix G G531GT-HN550 15.6 FHD 144Hz Intel Core,505 989,Not Found,Not Found,Not Found,512
235,f7063969,Игровой ноутбук Lenovo IdeaPad Gaming 3 15IMH05 81Y400P3RK,455 000,Core i7,"15.6""",2600 MHz,512
236,f7032073,Игровой ноутбук ASUS ROG Strix Scar II GL504GV 90NR01X1-M00140,988 600,Core i5,"15.6""",2300 MHz,1256
237,f7032201,Ноутбук Lenovo ThinkPad T490s 20NX0009RT,595 900,Core i5,"14""",1600 MHz,256
238,f7032036,Игровой ноутбук Acer Predator Triton 700 PT715-51 NH.Q2KER.002,1 081 000,Core i7,"15.6""",2800 MHz,512
239,f7032204,Ноутбук Lenovo IdeaPad S145 81W8000QRK,238 900,Core i5,"15.6""",1100 MHz,1000
240,f7032254,Ноутбук Lenovo ThinkPad L580 20LW000URT,472 700,Core i5,"15.6""",1600 MHz,1000
241,f7076237,Игровой ноутбук HP Pavilion Gaming 15-dk1018ur 15C52EA,389 900,Core i5,"15.6""",2500 MHz,1256
242,f7008850,Ультрабук ASUS ZenBook 15 UX533FTC 90NB0NK1-M06820,582 700,Core i5,"15.6""",1600 MHz,1000
