,ID,Price,Name,Mark,Model,Size,Volume,Main camera
164,f6888967,207 950,Планшет ASUS Transformer Book T101HA,Планшет, ASUS Transformer Book T101HA,Not Found,Not Found,Not Found
165,f6888932,96 920,"Планшет ASUS ZenPad 8.0"" Z380KNL",Планшет," ASUS ZenPad 8.0"" Z380KNL",Not Found,Not Found,Not Found
166,f6888823,204 130,Планшет ASUS Transformer Mini T103HAF-GR061T,Планшет, ASUS Transformer Mini T103HAF-GR061T,Not Found,Not Found,Not Found
167,f7016544,477 987,Samsung Galaxy Tab S7 SM-T875 Black SM-T875NZKASER,Samsung, Galaxy Tab S7 SM-T875 Black SM-T875NZKASER,Not Found,Not Found,Not Found
168,f6591940,79 790,Lenovo Tab M10 TB-X505X 32Gb Black,Lenovo, Tab M10 TB-X505X,"экран 10.1""",встроенная память 32,камера 2Mpix
169,f6835284,29 590,BQ BQ-7036L Hornet Black,BQ, BQ-7036L Hornet Black,"экран 7""",встроенная память 8,камера 2Mpix
170,f7105259,128 298,Samsung Galaxy Tab A7 SM-T505NZSASER,Samsung, Galaxy Tab A7 SM-T505NZSASER,Not Found,Not Found,Not Found
171,f6905482,125 993,Lenovo Tab M10 FHD Plus TB-X606F Grey,Lenovo, Tab M10 FHD Plus TB-X606F Grey,"экран 10.3""",встроенная память 32,камера 5Mpix
172,f7080471,360 700,"Планшет Samsung Galaxy Tab S7 Plus, 12.4"", 128Gb, Wi-Fi+4G, Mystic",Планшет," Samsung Galaxy Tab S7 Plus, 12.4"",",Not Found,Not Found,Not Found
173,f5159068,84 500,Lenovo Yoga Tablet 10 3 2Gb 16Gb 4G,Lenovo, Yoga Tablet 10 3,"экран 10.1""",встроенная память 16,камера 8Mpix
174,f6209455,58 223,Digma CITI 7507 4G L707DS,Digma, CITI 7507 4G L707DS,Not Found,Not Found,Not Found
175,f6683494,93 488,Lenovo Tab M8 TB-8505X 2/32Gb,Lenovo, Tab M8 TB-8505X,"экран 8""",встроенная память 32,камера 5Mpix
176,f7099546,30 666,BQ BQ-7098G Armor Power Print1,BQ, BQ-7098G Armor Power Print1,"экран 7""",встроенная память 8,камера 2Mpix
177,f7146945,39 990,BQ BQ-8068L Hornet Plus Pro Black,BQ, BQ-8068L Hornet Plus Pro Black,"экран 8.1""",встроенная память 16,камера 5Mpix
178,f6870965,375 090,Apple iPad Pro 11 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
179,f6962380,170 590,Samsung Galaxy Tab S6 Lite 10.4 SM-P615 LTE 64Gb Grey,Samsung, Galaxy Tab S6 Lite 10.4 SM-P615 LTE,"экран 10.4""",встроенная память 64,камера 8Mpix
180,f5725953,161 500,Apple iPad 6th gen (2018) 32Gb Wi-Fi Space Gray,Apple, iPad 6th gen (2018),"экран 9.7""",встроенная память 32,камера 8Mpix
181,f6783556,139 900,Apple iPad 10.2 (2019) 32Gb Wi-Fi Space Gray,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
182,f6783566,196 700,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi Silver,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
183,f6783584,347 900,Apple iPad Pro 11 (2018) 64Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 64,камера 12Mpix
184,f6668299,34 133,BQ BQ-1081G Black,BQ, BQ-1081G Black,"экран 10.1""",встроенная память 8,камера 2Mpix
185,f7005201,149 400,Samsung Galaxy Tab S6 Lite 10.4 SM-P615 LTE 64Gb Grey,Samsung, Galaxy Tab S6 Lite 10.4 SM-P615 LTE,"экран 10.4""",встроенная память 64,камера 8Mpix
186,f7141595,49 020,BQ 8077 exion plus 3+32GB black 8077 black,BQ, 8077 exion plus,Not Found,Not Found,Not Found
187,f7141593,48 450,BQ 1022L Armor PRO bq-1022 print09,BQ, 1022L Armor PRO bq-1022 print09,Not Found,Not Found,Not Found
188,f7141590,48 450,BQ 1022L Armor PRO bq-1022 print07,BQ, 1022L Armor PRO bq-1022 print07,Not Found,Not Found,Not Found
189,f7141589,49 020,BQ 8077 exion plus 3+32GB gold 8077 gold,BQ, 8077 exion plus,Not Found,Not Found,Not Found
190,f7141588,48 450,BQ 1022L Armor PRO bq-1022 print06,BQ, 1022L Armor PRO bq-1022 print06,Not Found,Not Found,Not Found
191,f7141587,48 450,BQ 1022L Armor PRO bq-1022 print03,BQ, 1022L Armor PRO bq-1022 print03,Not Found,Not Found,Not Found
192,f7141585,48 450,BQ 1022L Armor PRO bq-1022 print02,BQ, 1022L Armor PRO bq-1022 print02,Not Found,Not Found,Not Found
193,f7141584,48 450,BQ 1022L Armor PRO bq-1022 print05,BQ, 1022L Armor PRO bq-1022 print05,Not Found,Not Found,Not Found
194,f7141570,54 780,BQ 1024L Exion pro silver BQ-1024L Exion pro silver,BQ, 1024L Exion pro silver BQ-1024L Exion pro silver,Not Found,Not Found,Not Found
195,f7141561,576 874,Apple 12.9-inch iPad Pro MY3D2RK/A,Apple, 12.9-inch iPad Pro MY3D2RK/A,Not Found,Not Found,Not Found
196,f7141557,650 496,Apple iPad Pro MXDH2RK/A,Apple, iPad Pro MXDH2RK/A,Not Found,Not Found,Not Found
197,f6805141,67 887,"Планшет Samsung Galaxy Tab A 8.0"" WiFi, SM-T290NZKASKZ, Black(398605)",Планшет," Samsung Galaxy Tab A 8.0"" WiFi, SM-T290NZKASKZ, Black(398605)",Not Found,Not Found,Not Found
198,f7021210,210 700,Microsoft Surface Go 8Gb 128Gb Black,Microsoft, Surface Go,"экран 10.1""",встроенная память 128,камера 8Mpix
199,f7101180,414 090,Samsung Galaxy Tab S7 Plus 12.4 SM-T975 LTE 128Gb Mystic Bronze,Samsung, Galaxy Tab S7 Plus 12.4 SM-T975 LTE,"экран 12.4""",встроенная память 128,камера 13Mpix
200,f6894943,63 210,Samsung Galaxy Tab A 8.0 SM-T295 LTE 32Gb Silver,Samsung, Galaxy Tab A 8.0 SM-T295 LTE,"экран 8""",встроенная память 32,камера 8Mpix
201,f6852792,580 500,Apple iPad Pro 12.9 (2020) 512Gb Wi-Fi Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 512,камера 12Mpix
202,f6852072,408 500,Apple iPad Pro 11 (2020) 256Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 256,камера 12Mpix
203,f6851949,369 800,Apple iPad Pro 11 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
204,f6406195,82 130,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Gold,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
205,f6280822,296 700,Apple iPad mini 5 (2019) 256Gb Wi-Fi + Cellular Space Gray,Apple, iPad mini 5 (2019),Not Found,встроенная память 256,камера 8Mpix
206,f7076341,166 800,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Gold,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
207,f7139839,368 985,Apple iPad Pro 11 (2020) 128Gb Wi-Fi Silver,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
208,f7139829,334 995,Apple iPad Pro 11 (2018) 64Gb Wi-Fi Silver,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 64,камера 12Mpix
209,f7110618,60 076,Lenovo Tab M8 TB-8505F 32Gb,Lenovo, Tab M8 TB-8505F,"экран 8""",встроенная память 32,камера 5Mpix
210,f7053930,159 900,Samsung Galaxy Tab S5e 10.5 SM-T725 64Gb Black,Samsung, Galaxy Tab S5e 10.5 SM-T725,"экран 10.5""",встроенная память 64,камера 13Mpix
211,f7053830,65 000,Samsung Galaxy Tab A 8.0 SM-T295 32Gb Black,Samsung, Galaxy Tab A 8.0 SM-T295,"экран 8""",встроенная память 32,камера 8Mpix
212,f6304422,77 990,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Gold,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
213,f7077600,30 190,BQ BQ-7098G Armor Power Print1,BQ, BQ-7098G Armor Power Print1,"экран 7""",встроенная память 8,камера 2Mpix
214,f7099541,34 491,BQ BQ-8068L Hornet Plus Pro Black,BQ, BQ-8068L Hornet Plus Pro Black,"экран 8.1""",встроенная память 16,камера 5Mpix
215,f7074573,214 490,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Silver,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
216,f6963584,182 295,Apple iPad 10.2 (2019) 128Gb Wi-Fi Space Gray,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 128,камера 8Mpix
217,f7129084,269 000,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Black,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
218,f7106662,299 990,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Black,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
219,f6842926,459 990,Apple iPad Pro 11 (2020) 128Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
220,f7125998,24 732,Планшетный компьютер BQ-7038G Light Plus Violet /,Планшетный, компьютер BQ-7038G Light Plus Violet /,Not Found,Not Found,Not Found
221,f7123347,2 294,No name Обучающий планшет для детей X-RKB,No, name Обучающий планшет для детей X-RKB,Not Found,Not Found,Not Found
222,f7122406,2 294,X-game X-Game Обучающий планшет для детей X-RKP,X-game, X-Game Обучающий планшет для детей X-RKP,Not Found,Not Found,Not Found
223,f6814181,53 087,"Планшет Samsung Galaxy Tab A 7.0"" черный A1-1246427",Планшет," Samsung Galaxy Tab A 7.0"" черный A1-1246427",Not Found,Not Found,Not Found
224,f6814101,160 633,Apple iPad 10.2 (2019) 32Gb Wi-Fi Space Gray,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
225,f6814215,226 153,Apple iPad 6th gen (2018) Retina 32Gb Wi-Fi + Cellular,Apple, iPad 6th gen (2018) Retina,"экран 9.7""",встроенная память 32,камера 8Mpix
226,f6675722,23 997,BQ BQ-7000G Charm Black,BQ, BQ-7000G Charm Black,"экран 7""",встроенная память 8,камера 2Mpix
227,f6400587,56 831,Samsung Galaxy Tab A 7.0 SM-T285 8Gb Black,Samsung, Galaxy Tab A 7.0 SM-T285,"экран 7""",встроенная память 8,камера 5Mpix
228,f6153495,512 734,Apple iPad Pro 10.5 256Gb Wi-Fi + Cellular Silver,Apple, iPad Pro 10.5,"экран 10.5""",встроенная память 256,камера 12Mpix
229,f6400584,388 310,Apple iPad Air 10.5 (2019) 256Gb Wi-Fi + Cellular Silver,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 256,камера 8Mpix
230,f6153688,630 237,Apple iPad Pro 12.9 (2018) 256Gb Wi-Fi Space Gray,Apple, iPad Pro 12.9 (2018),"экран 12.9""",встроенная память 256,камера 12Mpix
231,f6153549,160 545,Apple iPad (2017) 32Gb Wi-Fi Gold,Apple, iPad (2017),"экран 9.7""",встроенная память 32,камера 8Mpix
232,f6153380,380 310,Apple iPad Pro 10.5 (2017) 64Gb Wi-Fi + Cellular Gold,Apple, iPad Pro 10.5 (2017),"экран 10.5""",встроенная память 64,камера 12Mpix
233,f6785959,435 000,Microsoft Surface Pro 7 i5 8Gb 128Gb Platinum,Microsoft, Surface Pro 7 i5,"экран 12.3""",встроенная память 128,камера 8Mpix
234,f7099566,23 997,BQ BQ-7038G Light Plus Blue,BQ, BQ-7038G Light Plus Blue,"экран 7""",встроенная память 16,камера 2Mpix
235,f6612730,67 556,Samsung Galaxy Tab A 8.0 SM-T295 32Gb Black,Samsung, Galaxy Tab A 8.0 SM-T295,"экран 8""",встроенная память 32,камера 8Mpix
236,f6892117,569 000,Apple iPad Pro 12.9 (2020) 256Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 256,камера 12Mpix
237,f6471924,349 500,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi + Cellular Silver,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
238,f7100619,25 964,Prestigio Smartkids 3197 Pink,Prestigio, Smartkids 3197 Pink,"экран 7""",встроенная память 16,камера 2Mpix
239,f7072621,25 190,Планшетный компьютер BQ-7038G Light Plus Blue,Планшетный, компьютер BQ-7038G Light Plus Blue,Not Found,Not Found,Not Found
240,f7031729,365 200,"Планшет Samsung Galaxy Tab S7 11"", SM-T875NZNASKZ, Bronze",Планшет," Samsung Galaxy Tab S7 11"", SM-T875NZNASKZ, Bronze",Not Found,Not Found,Not Found
241,f7030962,29 052,BQ BQ-7036L Hornet Black,BQ, BQ-7036L Hornet Black,"экран 7""",встроенная память 8,камера 2Mpix
242,f6528340,30 240,BQ BQ-1081G White,BQ, BQ-1081G White,"экран 10.1""",встроенная память 8,камера 2Mpix
243,f7062388,24 045,BQ BQ-7000G Charm Black,BQ, BQ-7000G Charm Black,"экран 7""",встроенная память 8,камера 2Mpix
244,f7111315,24 045,BQ BQ-7000G Charm Gold,BQ, BQ-7000G Charm Gold,"экран 7""",встроенная память 8,камера 2Mpix
245,f6859561,30 520,BQ BQ-1081G Black,BQ, BQ-1081G Black,"экран 10.1""",встроенная память 8,камера 2Mpix
246,f6869748,183 760,Samsung Galaxy Tab S6 Lite 10.4 SM-P615 LTE 64Gb Blue,Samsung, Galaxy Tab S6 Lite 10.4 SM-P615 LTE,"экран 10.4""",встроенная память 64,камера 8Mpix
247,f6284205,488 600,Apple iPad Pro 12.9 (2018) 256Gb Wi-Fi Space Gray,Apple, iPad Pro 12.9 (2018),"экран 12.9""",встроенная память 256,камера 12Mpix
248,f7109979,168 950,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Gold,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
249,f7106637,410 770,Apple iPad Pro 11 (2020) 128Gb Wi-Fi Silver,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
250,f7106634,410 770,Apple iPad Pro 11 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
251,f7012385,618 000,Apple iPad Pro 12.9 (2020) 256Gb Wi-Fi Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 256,камера 12Mpix
252,f6800832,37 820,Lenovo Tab E7 TB-7104F 16Gb Black,Lenovo, Tab E7 TB-7104F,"экран 7""",встроенная память 16,камера 2Mpix
253,f6963517,423 985,Apple iPad Pro 11 (2020) 128Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
254,f7101890,441 190,Apple iPad Pro 11 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
255,f7012399,887 000,Apple iPad Pro 12.9 (2020) 1Tb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 12.9 (2020) 1Tb Wi-Fi + Cellular Space Gray,"экран 12.9""",встроенная память 1024,камера 12Mpix
256,f6903946,30 250,BQ BQ-7036L Hornet Black,BQ, BQ-7036L Hornet Black,"экран 7""",встроенная память 8,камера 2Mpix
257,f6639019,89 000,Xiaomi MiPad 4 64Gb LTE Gold,Xiaomi, MiPad 4,"экран 8""",встроенная память 64,камера 13Mpix
258,f7006337,705 900,Apple iPad Pro 11 (2020) 1Tb Wi-Fi Space Gray,Apple, iPad Pro 11 (2020) 1Tb Wi-Fi Space Gray,"экран 11""",встроенная память 1024,камера 12Mpix
259,f7006328,534 500,Apple iPad Pro 11 (2020) 128Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
260,f6996764,253 580,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi Space Gray,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
261,f6996848,253 580,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi Silver,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
262,f6596994,89 000,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Black,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
263,f6889422,113 710,Huawei Mediapad T3 10 16Gb LTE Grey,Huawei, Mediapad T3 10,"экран 9.6""",встроенная память 16,камера 5Mpix
264,f6888706,214 610,Планшет ASUS Transformer Mini T102HA-GR012T,Планшет, ASUS Transformer Mini T102HA-GR012T,Not Found,Not Found,Not Found
265,f7151504,214 779,Apple 10.2-inch iPad MYLA2RU/A,Apple, 10.2-inch iPad MYLA2RU/A,Not Found,Not Found,Not Found
266,f7151471,361 724,Apple 10.2-inch iPad Space Grey MYML2RU/A,Apple, 10.2-inch iPad Space Grey MYML2RU/A,Not Found,Not Found,Not Found
267,f6852361,630 480,Apple iPad Pro 11 (2020) 1Tb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2020) 1Tb Wi-Fi + Cellular Space Gray,"экран 11""",встроенная память 1024,камера 12Mpix
268,f6566277,29 590,BQ BQ-7098G Armor Power Cammo Winter,BQ, BQ-7098G Armor Power Cammo Winter,"экран 7""",встроенная память 8,камера 2Mpix
269,f6267165,272 200,Apple iPad mini Wi-Fi 64GB - Space Grey MUQW2RU/A,Apple, iPad mini Wi-Fi,Not Found,Not Found,Not Found
270,f6870096,616 764,Apple iPad Pro (2020) 11 MY2V2RU/A,Apple, iPad Pro (2020) 11 MY2V2RU/A,Not Found,Not Found,Not Found
271,f6253799,368 427,Apple iPad mini Wi-Fi + Cellular 64GB - Silver MUX62RU/A,Apple, iPad mini Wi-Fi + Cellular,Not Found,Not Found,Not Found
272,f6949124,96 202,Huawei MatePad T8 53010XYV,Huawei, MatePad T8 53010XYV,Not Found,Not Found,Not Found
273,f7112745,213 900,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
274,f7112746,290 000,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi + Cellular Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
275,f6894674,453 000,Apple iPad Pro 12.9 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 128,камера 12Mpix
276,f7150442,213 500,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Gold,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
277,f7101980,61 587,Lenovo Tab M8 TB-8505F 32Gb,Lenovo, Tab M8 TB-8505F,"экран 8""",встроенная память 32,камера 5Mpix
278,f7101974,55 858,Lenovo Tab M7 TB-7305X 32Gb LTE,Lenovo, Tab M7 TB-7305X,"экран 7""",встроенная память 32,камера 2Mpix
279,f6215429,397 643,Apple 10.5-inch iPad Air Wi-Fi + Cellular 64GB - Space Grey MV0D2RU/A,Apple, 10.5-inch iPad Air Wi-Fi + Cellular,Not Found,Not Found,Not Found
280,f7016543,514 507,Samsung Galaxy Tab S7+ SM-T970 Black SM-T970NZKASER,Samsung, Galaxy Tab S7+ SM-T970 Black SM-T970NZKASER,Not Found,Not Found,Not Found
281,f6640771,25 190,BQ BQ-7000G Charm Black,BQ, BQ-7000G Charm Black,"экран 7""",встроенная память 8,камера 2Mpix
282,f6641564,27 690,BQ BQ-7082G Armor Print3,BQ, BQ-7082G Armor Print3,"экран 7""",встроенная память 8,камера 2Mpix
283,f7077603,35 190,BQ BQ-8068L Hornet Plus Pro Black,BQ, BQ-8068L Hornet Plus Pro Black,"экран 8.1""",встроенная память 16,камера 5Mpix
284,f6566203,30 790,BQ BQ-1081G Black,BQ, BQ-1081G Black,"экран 10.1""",встроенная память 8,камера 2Mpix
285,f7138123,29 590,BQ BQ-7040G Charm Plus Black,BQ, BQ-7040G Charm Plus Black,"экран 7""",встроенная память 16,камера 2Mpix
286,f7080468,307 900,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Black,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
287,f7139499,144 585,Lenovo Yoga Tablet YT-X705F ZA3V0063RU,Lenovo, Yoga Tablet YT-X705F ZA3V0063RU,Not Found,Not Found,Not Found
288,f6299995,31 900,Lenovo Tab E7 TB-7104F 16Gb Black,Lenovo, Tab E7 TB-7104F,"экран 7""",встроенная память 16,камера 2Mpix
289,f7080470,307 900,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Bronze,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
290,f6526357,60 700,Samsung Galaxy Tab A 8.0 SM-T295 LTE 32Gb Silver,Samsung, Galaxy Tab A 8.0 SM-T295 LTE,"экран 8""",встроенная память 32,камера 8Mpix
291,f6460930,78 600,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Black,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
292,f6460929,82 900,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Gold,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
293,f6867962,248 700,Samsung Galaxy Tab S6 Lite LTE 64GB Grey SM-P615NZAASER,Samsung, Galaxy Tab S6 Lite LTE,Not Found,Not Found,Not Found
294,f6904871,307 845,Samsung Galaxy Tab S6 10.5 SM-T865 LTE 128Gb Grey,Samsung, Galaxy Tab S6 10.5 SM-T865 LTE,"экран 10.5""",встроенная память 128,камера 13Mpix
295,f6627742,39 927,BQ BQ-7082G Armor Print8,BQ, BQ-7082G Armor Print8,"экран 7""",встроенная память 8,камера 2Mpix
296,f6996125,57 981,Huawei MediaPad,Huawei, MediaPad,Not Found,Not Found,Not Found
297,f6814122,37 350,Lenovo Tab M7 TB-7305I 16Gb Grey,Lenovo, Tab M7 TB-7305I,"экран 7""",встроенная память 16,камера 2Mpix
298,f7146409,29 960,Планшет BQ-1081G 3G white белый ST23377,Планшет, BQ-1081G 3G white белый ST23377,Not Found,Not Found,Not Found
299,f7146239,34 440,Планшет BQ-1081G 3G Black ST22028,Планшет, BQ-1081G 3G Black ST22028,Not Found,Not Found,Not Found
300,f7145948,35 840,Планшет BQ-8068L Hornet Plus Pro black LTE ST24425,Планшет, BQ-8068L Hornet Plus Pro black LTE ST24425,Not Found,Not Found,Not Found
301,f7145876,2 209,Обучающий планшет Русско-Казахский X-RKB TKZRU-B АА батареи 1.5V,Обучающий, планшет Русско-Казахский X-RKB TKZRU-B АА батареи 1.5V,Not Found,Not Found,Not Found
302,f7104506,166 000,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
303,f7010086,325 790,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Black,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
304,f7056481,401 490,Samsung Galaxy Tab S7 Plus 12.4 SM-T975 LTE 128Gb Mystic Bronze,Samsung, Galaxy Tab S7 Plus 12.4 SM-T975 LTE,"экран 12.4""",встроенная память 128,камера 13Mpix
305,f7056485,401 490,Samsung Galaxy Tab S7 Plus 12.4 SM-T975 LTE 128Gb Mystic Black,Samsung, Galaxy Tab S7 Plus 12.4 SM-T975 LTE,"экран 12.4""",встроенная память 128,камера 13Mpix
306,f6876956,90 190,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Gold,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
307,f6876955,90 190,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Black,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
308,f6783557,182 300,Apple iPad 10.2 (2019) 128Gb Wi-Fi Space Gray,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 128,камера 8Mpix
309,f6783568,242 000,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi + Cellular Silver,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
310,f7098887,213 900,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Silver,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
311,f7005199,149 400,Samsung Galaxy Tab S6 Lite 10.4 SM-P615 LTE 64Gb Blue,Samsung, Galaxy Tab S6 Lite 10.4 SM-P615 LTE,"экран 10.4""",встроенная память 64,камера 8Mpix
312,f6675106,28 725,BQ BQ-7040G Charm Plus Black,BQ, BQ-7040G Charm Plus Black,"экран 7""",встроенная память 16,камера 2Mpix
313,f7141626,275 159,Apple 10.9-inch iPad Air Wi-Fi 64GB 3H183HC/A,Apple, 10.9-inch iPad Air Wi-Fi,Not Found,Not Found,Not Found
314,f7141598,49 020,BQ 8077 exion plus 3+32GB silver 8077 silver,BQ, 8077 exion plus,Not Found,Not Found,Not Found
315,f7141597,48 450,BQ 1022L Armor PRO bq-1022 print08,BQ, 1022L Armor PRO bq-1022 print08,Not Found,Not Found,Not Found
316,f7136689,164 072,Apple iPad 10.2 (2019) 32Gb Wi-Fi Space Gray,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
317,f6741272,74 691,"Планшет Samsung Galaxy Tab A 8"", SM-T295NZKASKZ, Black(011689)",Планшет," Samsung Galaxy Tab A 8"", SM-T295NZKASKZ, Black(011689)",Not Found,Not Found,Not Found
318,f7136638,38 750,Lenovo Tab M7 TB-7305F 16Gb Black,Lenovo, Tab M7 TB-7305F,"экран 7""",встроенная память 16,камера 2Mpix
319,f6740973,74 631,Samsung Galaxy Tab A 8.0 SM-T295 32Gb Silver,Samsung, Galaxy Tab A 8.0 SM-T295,"экран 8""",встроенная память 32,камера 8Mpix
320,f6740898,104 919,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Black,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
321,f6901861,319 674,Samsung Galaxy Tab S6 10.5 SM-T865 LTE 128Gb Brown,Samsung, Galaxy Tab S6 10.5 SM-T865 LTE,"экран 10.5""",встроенная память 128,камера 13Mpix
322,f6970357,317 484,Samsung Galaxy Tab S6 10.5 SM-T865 LTE 128Gb Grey,Samsung, Galaxy Tab S6 10.5 SM-T865 LTE,"экран 10.5""",встроенная память 128,камера 13Mpix
323,f7136747,37 628,"Планшет Prestigio Wize 3151 3G, PMT3151 3G D CIS, Single SIM",Планшет," Prestigio Wize 3151 3G, PMT3151 3G D CIS, Single SIM",Not Found,Not Found,Not Found
324,f6879072,23 874,"Планшет Prestigio Grace PMT4117 3G, Black(147409)",Планшет," Prestigio Grace PMT4117 3G, Black(147409)",Not Found,Not Found,Not Found
325,f6475364,76 988,Samsung Galaxy Tab A 8.0 SM-T295 32Gb Black,Samsung, Galaxy Tab A 8.0 SM-T295,"экран 8""",встроенная память 32,камера 8Mpix
