,ID,Price,Name,Mark,Model,Size,Volume,Main camera
44,f6950752,560 285,Apple iPad Pro 12.9 (2020) 256Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 256,камера 12Mpix
45,f5615251,193 529,Samsung Galaxy Tab S2 9.7 SM-T819 LTE 32Gb Gold,Samsung, Galaxy Tab S2 9.7 SM-T819 LTE,"экран 9.7""",встроенная память 32,камера 8Mpix
46,f7069143,295 900,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Black,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
47,f7138543,560 290,Apple iPad Pro 12.9 (2020) 256Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 256,камера 12Mpix
48,f7080589,586 500,Apple iPad Pro 12.9 (2020) 256Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 256,камера 12Mpix
49,f6596265,149 900,Apple iPad 10.2 (2019) 32Gb Wi-Fi Space Gray,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
50,f6785970,700 000,Microsoft Surface Pro 7 i7 16Gb 256Gb Platinum,Microsoft, Surface Pro 7 i7,"экран 12.3""",встроенная память 256,камера 8Mpix
51,f7099553,23 997,BQ BQ-7038G Light Plus Violet,BQ, BQ-7038G Light Plus Violet,"экран 7""",встроенная память 16,камера 2Mpix
52,f6897846,90 100,Lenovo Tab M10 FHD Plus TB-X606F Grey,Lenovo, Tab M10 FHD Plus TB-X606F Grey,"экран 10.3""",встроенная память 32,камера 5Mpix
53,f7056480,325 790,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Bronze,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
54,f7108690,224 900,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi + Cellular Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
55,f6573059,156 950,Apple iPad 10.2 (2019) 32Gb Wi-Fi Space Gray,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
56,f5615224,52 765,Samsung Galaxy Tab A 7.0 SM-T280 8Gb чёрный,Samsung, Galaxy Tab A 7.0 SM-T280,"экран 7""",встроенная память 8,камера 5Mpix
57,f5902252,156 235,Samsung Galaxy Tab S2 8.0 SM-T719 LTE 32Gb чёрный,Samsung, Galaxy Tab S2 8.0 SM-T719 LTE,"экран 8""",встроенная память 32,камера 8Mpix
58,f7053899,235 000,Samsung Galaxy Tab S6 10.5 SM-T865 LTE 128Gb Grey,Samsung, Galaxy Tab S6 10.5 SM-T865 LTE,"экран 10.5""",встроенная память 128,камера 13Mpix
