Name;Price;Mark;Model;prod_type;Size;OS;RAM;Volume;main_camera;front_camera;videoshoot_format;videoshoot_resolution
Смартфон Vivo Y12, Aqua Blue (3/64Gb);69 990;Vivo;Y12;смартфон;"6.35""";Android;3 Гб;64 Гб;13+8+2 Мп;8 Мп;FullHD ;1920x1080
Смартфон Vivo Y12, Burgundy Red (3/64Gb);69 990;Vivo;Y12;смартфон;"6.35""";Android;3 Гб;64 Гб;13+8+2 Мп;8 Мп;FullHD;1920x1080
Смартфон Samsung Galaxy A30s, 32 GB,  black;69 890;Samsung;Galaxy A30s;смартфон;"6.4""";Android;3 Гб;32 Гб;25 + 8 + 5;16;Full HD;1920x1080
Смартфон OPPO A5s,32 GB, Blue;67 990;Oppo;A5s;смартфон;"6.2""";Android 8.1;3 Гб;32 Гб;13+2;8;Full HD;1920x1080
Смартфон Vivo Y91C, Ocean Blue (2/32Gb);54 990;Vivo;Y91C;смартфон;"6.22""";Android 8.1;2 Гб;32 Гб;13;5;;
Смартфон Vivo Y91C, Fusion Black (2/32Gb);54 990;Vivo;Y91C;смартфон;"6.22""";Android 8.1;2 Гб;32 Гб;13;5;;
Смартфон OPPO A5s Black,32 GB;67 990;Oppo;A5s;смартфон;"6.2""";Android 8.1;3 Гб;32 Гб;13+2;8;Full HD;1920x1080
Смартфон Samsung Galaxy A10, 32GB, Red;54 890;Samsung;Galaxy A10;смартфон;"6.2""";Android;2 Гб;32 Гб;13;5;Full HD;1920x1080
Смартфон Samsung Galaxy A10, 32GB, Black;54 890;Samsung;Galaxy A10;смартфон;"6.2""";Android;2 Гб;32 Гб;13;5;Full HD;1920x1080
Смартфон Samsung Galaxy A10,32GB, Blue;54 890;Samsung;Galaxy A10;смартфон;"6.2""";Android;2 Гб;32 Гб;13;5;Full HD;1920x1080
