Name;Price;Mark;Model;prod_type;Size;OS;RAM;Volume;main_camera;front_camera;videoshoot_format;videoshoot_resolution
Смартфон Samsung Galaxy A21s, White;79 890;Samsung;A21s;смартфон;"6.5""";Android 10;3 Гб;32 Гб;48+8+2+2;13;;
Смартфон Samsung Galaxy A21s, Red;79 890;Samsung;A21s;смартфон;"6.5""";Android 10;3 Гб;32 Гб;48+8+2+2;13;;
Смартфон Samsung Galaxy A21s, Black;79 890;Samsung;A21s;смартфон;"6.5""";Android 10;3 Гб;32 Гб;48+8+2+2;13;;
Смартфон Samsung Galaxy A11, White;64 890;Samsung;A11;смартфон;"6.4""";Android ;2 Гб;32 Гб;13.0 MП + 2.0 MП + 5.0 MП;8.0 МП;;
Смартфон Samsung Galaxy A11, Red;64 890;Samsung;Galaxy A11;смартфон;"6.4""";Android ;2 Гб;32 Гб;13.0 MП + 2.0 MП + 5.0 MП;8.0 МП;;
Смартфон Samsung Galaxy A11, Black;64 890;Samsung;A11;смартфон;"6.4""";Android ;2 Гб;32 Гб;13.0 MП + 2.0 MП + 5.0 MП;8.0 МП;;
Смартфон Samsung Galaxy S20 Ultra, Black;524 890;Samsung;Galaxy S20 Ultra;смартфон;"6.9""";Android 10;12 Гб;128 Гб;108+48+12;40;4K ;
Смартфон Samsung Galaxy S20 plus, Black;429 890;Samsung;Galaxy S20 plus;смартфон;"6.7""";Android 10;8 Гб;128 Гб;64+12+12;10;4K;3840x2160
Смартфон Samsung Galaxy S20 plus, Gray;429 890;Samsung;Galaxy S20+;смартфон;"6.7""";Android 10;8 Гб;128 Гб;64+12+12;10;4K;3840x2160
Смартфон Samsung Galaxy S20 plus, Blue;429 890;Samsung;Galaxy S20+;смартфон;"6.7""";Android 10;8 Гб;128 Гб;64+12+12;10;4K;3840x2160
Смартфон Samsung Galaxy S20, Red;349 890;Samsung;Galaxy S20;смартфон;"6.2""";Android 10;8 Гб;128 Гб;64+12+12;10;HDR10+;
Смартфон Samsung Galaxy S20, Gray;349 890;Samsung;Galaxy S20;смартфон;"6.2""";Android 10;8 Гб;128 Гб;64+12+12;10;HDR10+;
Смартфон Samsung Galaxy S20, Blue;349 890;Samsung;Galaxy S20;смартфон;"6.2""";Android 10;8 Гб;128 Гб;64+12+12;10;HDR10+;
Смартфон  Galaxy A51 128GB White, (SM-A515FZWWSKZ);139 890;Samsung;Galaxy A51;смартфон;"6.5""";Android ;6 Гб;128 Гб;48.0 МП + 12.0 MП + 5.0 MП + 5.0 MП;32.0 MП;UHD 4K;3840x2160
Смартфон Samsung Galaxy A01, Blue;49 890;Samsung;A01;смартфон;"5.7""";Android ;2 ГБ;16 Гб;13+2Мп;5 Мп;FHD;1920x1080
