,ID,Price,Name,Mark,Model,Size,Type,WiFi
55,f7111456,34 968,Телевизор Blackton BT-2201B Black / 2201B Blackton TST34215,Телевизор, Blackton BT-2201B Black / 2201B Blackton TST34215,,Not Found,Not Found
56,f7089792,51 981,"BQ 3201B 31.5""",BQ, 3201B,"31.5""",ЖК-LED,Yes
57,f6662413,140 370,"LG 43LM5700PLA 43""",LG, 43LM5700PLA,"43""",ЖК-LED,Yes
58,f6890030,129 780,"Телевизор ЖК 20"" LG 20MT48VF, черный",Телевизор, ЖК,"20""",Not Found,Not Found
59,f6890427,747 750,"Samsung UE55KU6400U 55""",Samsung, UE55KU6400U,"55""",Smart TV,Yes
60,f7149101,157 347,"Toshiba 49U7750EV 49""",Toshiba, 49U7750EV,"49""",ЖК-LED,Yes
61,f6656279,198 100,"Xiaomi Mi TV 4S 55 55""",Xiaomi, Mi TV 4S 55,"55""",Smart TV,Yes
62,f6989424,194 172,"Hisense 50AE7200F 50""",Hisense, 50AE7200F,"50""",ЖК-LED,Yes
63,f7065129,88 027,"Hisense 32A5100F 32""",Hisense, 32A5100F,"32""",ЖК-LED,Yes
64,f6904765,54 764,"TCL LED32D3000 32""",TCL, LED32D3000,"32""",ЖК-LED,Yes
65,f6878574,38 798,"BQ 2401B 23.6""",BQ, 2401B,"23.6""",ЖК,Yes
66,f7020635,230 928,"LG 55UM7300PLB 55""",LG, 55UM7300PLB,"55""",Smart TV,Yes
67,f6840434,244 128,"Samsung UE50TU8000UXCE 50""",Samsung, UE50TU8000UXCE,"50""",Smart TV,Yes
68,f6796249,49 290,"TCL LED32D3000 32""",TCL, LED32D3000,"32""",ЖК-LED,Yes
69,f6662438,133 849,"Samsung UE43N5300AUXCE 43""",Samsung, UE43N5300AUXCE,"43""",ЖК-LED,Yes
70,f6222136,201 870,"Sony KDL-43WF665BR 42.5""",Sony, KDL-43WF665BR,"42.5""",ЖК-LED,Yes
71,f7054998,82 790,"Xiaomi TV 4A 32 32""",Xiaomi, TV 4A 32,"32""",ЖК,Yes
